,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-17,,19.226808547973633,42.292537689208984,8.983321189880371,35.622920989990234,,,22.5049991607666,61.80390548706055,14.186665534973145,44.878318786621094,,,22.795000076293945,62.15625,14.333333015441895,45.24192428588867,,,22.329999923706055,60.314842224121094,14.088888168334961,44.66170120239258,,,22.795000076293945,60.314842224121094,14.222222328186035,45.15682601928711,,,301500,39309184,9183195.0,6063293.0,
2002-04-18,,19.41476821899414,42.35829544067383,9.01779556274414,35.905399322509766,,,22.725000381469727,61.900001525878906,14.241110801696777,45.234188079833984,,,22.899999618530273,62.484375,14.283332824707031,45.760257720947266,,,22.3700008392334,61.09375,14.135555267333984,45.025306701660156,,,22.5,61.875,14.223333358764648,45.18003463745117,,,1019510,20418880,7715250.0,12479959.0,
2002-04-19,,19.34641456604004,41.17466354370117,8.938994407653809,34.96585464477539,,,22.645000457763672,60.170310974121094,14.116665840148926,44.050533294677734,,,23.200000762939453,61.99687576293945,14.266666412353516,46.263118743896484,,,22.420000076293945,59.6875,14.022221565246582,43.67145538330078,,,22.979999542236328,61.71875,14.222222328186035,45.265132904052734,,,801040,29110336,10653165.0,12423685.0,
2002-04-22,,18.944873809814453,42.13642883300781,9.033979415893555,35.279029846191406,,,22.174999237060547,61.575782775878906,14.266666412353516,44.44508361816406,,,22.84000015258789,62.03125,14.316665649414062,44.78548049926758,,,21.975000381469727,59.015625,14.024443626403809,43.362003326416016,,,22.299999237060547,60.3125,14.199999809265137,44.09695053100586,,,1423060,30009600,5323320.0,11355882.0,
2002-04-23,,19.201183319091797,42.00973129272461,8.952362060546875,35.76415252685547,,,22.475000381469727,61.390625,14.137777328491211,45.056251525878906,,,22.899999618530273,61.701560974121094,14.263333320617676,45.58232116699219,,,22.350000381469727,56.875,14.071110725402832,44.27488708496094,,,22.399999618530273,56.875,14.263333320617676,44.59207534790039,,,579490,32510208,7605540.0,23675223.0,
2002-04-24,,19.218265533447266,41.52751159667969,8.987541198730469,35.57378387451172,,,22.4950008392334,60.685935974121094,14.19333267211914,44.81642532348633,,,22.68000030517578,61.47578048706055,14.220000267028809,49.481422424316406,,,22.399999618530273,60.234375,14.025554656982422,44.71585464477539,,,22.68000030517578,60.859375,14.154443740844727,45.33475875854492,,,261100,19379840,5212620.0,7760084.0,
2002-04-25,,18.99186897277832,40.58553695678711,8.623788833618164,35.24832534790039,,,22.229999542236328,59.30937576293945,13.618887901306152,44.406402587890625,,,22.459999084472656,60.46875,14.222222328186035,45.00983428955078,,,22.024999618530273,58.84843826293945,13.444443702697754,44.12789535522461,,,22.309999465942383,60.45000076293945,14.222222328186035,44.94794464111328,,,1264990,16325056,24278085.0,10921774.0,
2002-04-26,,19.158462524414062,40.69298553466797,8.705406188964844,35.432552337646484,,,22.424999237060547,59.466407775878906,13.747776985168457,44.638492584228516,,,22.5,59.920310974121094,13.8644437789917,45.00983428955078,,,22.21500015258789,58.984375,13.664443969726562,44.189788818359375,,,22.395000457763672,59.453125,13.664443969726562,44.4837646484375,,,764800,15962560,11948085.0,7301332.0,
2002-04-29,,18.77828598022461,38.86674118041992,8.551322937011719,33.81137466430664,,,21.979999542236328,56.79765701293945,13.504444122314453,42.596107482910156,,,22.264999389648438,59.34375,13.777776718139648,44.71585464477539,,,21.860000610351562,56.59375,13.420000076293945,42.18608474731445,,,22.1200008392334,59.21875,13.711111068725586,44.71585464477539,,,1647890,25777664,19782675.0,30502924.0,
2002-04-30,,18.761198043823242,39.39067459106445,8.86019229888916,34.18595504760742,,,21.959999084472656,57.56328201293945,13.99222183227539,43.068023681640625,,,22.100000381469727,58.15625,14.022221565246582,43.27690124511719,,,21.850000381469727,56.65937423706055,13.35666561126709,42.32533645629883,,,22.100000381469727,56.875,13.51111125946045,42.54969024658203,,,763410,22117888,22244130.0,10912732.0,
